,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus
321,Pachycondyla oligocenica,33.9,38.,Ponerinae,,Pachycondyla
322,Pachycondyla parvula,40.4,48.6,Ponerinae,,Pachycondyla
323,Pachycondyla petiolosa,40.4,48.6,Ponerinae,,Pachycondyla
324,Pachycondyla petrosa,40.4,48.6,Ponerinae,,Pachycondyla
325,Paraneuretus dubovikoffi,33.9,38.,Aneuretinae,,Paraneuretus
326,Paraphaenogaster avita,13.82,15.97,,,
327,Paraphaenogaster dumetorum,15.97,20.44,,,
328,Paraphaenogaster hooleyana,33.9,38.,Myrmicinae,Stenammini,Paraphaenogaster
329,Paraphaenogaster jurinei,11.608,12.7,Myrmicinae,Stenammini,Paraphaenogaster
330,Paraphaenogaster lapidescens,15.97,20.44,,,
331,Paraphaenogaster paludosa,15.97,20.44,,,
332,Paraphaenogaster pannonica,5.333,7.246,,,
333,Paraphaenogaster shanwangensis,15.97,20.44,,,
334,Paraphaenogaster tertiaria,11.608,12.7,Myrmicinae,Stenammini,Paraphaenogaster
335,Paraponera dieteri,13.82,20.44,Paraponerinae,,Paraponera
336,Parasyscia conservata,0.,0.0117,Dorylinae,,Parasyscia
337,Petraeomyrmex minimus,33.9,37.2,Dolichoderinae,,Petraeomyrmex
338,Pheidole primigenia,13.82,20.44,Myrmicinae,Attini,Pheidole
339,Pheidole rasnitsyni,0.,0.0117,Myrmicinae,Attini,Pheidole
340,Pheidole tertiaria,33.9,37.2,Myrmicinae,Attini,Pheidole
341,Plagiolepis labilis,5.333,11.608,Formicinae,Plagiolepidini,Plagiolepis
342,Platythyrea dlusskyi,48.6,55.8,Ponerinae,Platythyreini,Platythyrea
343,Platythyrea pumilio,13.82,20.44,Ponerinae,Platythyreini,Platythyrea
344,Plesiomyrmex tubulatus,33.9,38.,Myrmicinae,Myrmicini,Plesiomyrmex
345,Podomyrma mayri,5.333,11.608,Myrmicinae,Crematogastrini,Podomyrma
346,Pogonomyrmex fossilis,33.9,37.2,Myrmicinae,Pogonomyrmecini,Pogonomyrmex
347,Polyrhachis annosus,5.333,7.246,,,
348,Polyrhachis cincta,0.,0.0117,Formicinae,Camponotini,Polyrhachis
349,Polyrhachis circumdata,0.,0.0117,Formicinae,Camponotini,Polyrhachis
350,Polyrhachis continua,0.,0.0117,Formicinae,Camponotini,Polyrhachis
351,Polyrhachis decipiens,0.,0.0117,Formicinae,Camponotini,Polyrhachis
352,Polyrhachis excitata,0.,0.0117,Formicinae,Camponotini,Polyrhachis
353,Polyrhachis subfossa,0.,0.0117,Formicinae,Camponotini,Polyrhachis
354,Ponera elegantissima,23.03,28.4,Ponerinae,Ponerini,Ponera
