Specimen,subfamily,Tribe,Genus
Ponerites_crawleyi,Ponerinae,Ponerini,Ponerites
Ponerites_elongatus,Ponerinae,Ponerini,Ponerites
Ponerites_eocenicus,Ponerinae,Ponerini,Ponerites
Ponerites_gracilior,Ponerinae,Ponerini,Ponerites
Ponerites_hooleyi,Ponerinae,Ponerini,Ponerites
Ponerites_hypoponeroides,Ponerinae,Ponerini,Ponerites
Ponerites_nitidus,Ponerinae,Ponerini,Ponerites
Ponerites_oblongiceps,Ponerinae,Ponerini,Ponerites
Ponerites_tenuis,Ponerinae,Ponerini,Ponerites
Ponerites_umbrus,Ponerinae,Ponerini,Ponerites
Prionomyrmex_janzeni,Myrmeciinae,Prionomyrmecini,Prionomyrmex
Prionomyrmex_wappleri,Myrmeciinae,Prionomyrmecini,Prionomyrmex
Pristomyrmex_rasnitsyni,Myrmicinae,Crematogastrini,Pristomyrmex
Proceratium_denticulatum,Proceratiinae,Proceratiini,Proceratium
Proceratium_dominicanum,Proceratiinae,Proceratiini,Proceratium
Proceratium_gibberum,Proceratiinae,Proceratiini,Proceratium
Proceratium_petrosum,Proceratiinae,Proceratiini,Proceratium
Proceratium_poinari,Proceratiinae,Proceratiini,Proceratium
Proiridomyrmex_rotundatus,Dolichoderinae,,Proiridomyrmex
Proiridomyrmex_vetulus,Dolichoderinae,,Proiridomyrmex
Protazteca_capitata,Dolichoderinae,,Protazteca
Protazteca_elongata,Dolichoderinae,,Protazteca
Protazteca_eocenica,Dolichoderinae,,Protazteca
Protazteca_hendersoni,Dolichoderinae,,Protazteca
Protazteca_quadrata,Dolichoderinae,,Protazteca
Protomyrmica_atavia,Myrmicinae,Myrmicini,Protomyrmica
Protopone_germanica,Ponerinae,,Protopone
Protopone_magna,Ponerinae,,Protopone
Protopone_oculata,Ponerinae,,Protopone
Protopone_sepulta,Ponerinae,,Protopone
Protopone_vetula,Ponerinae,,Protopone
Pseudectatomma_eocenica,Ectatomminae,,Pseudectatomma
Pseudectatomma_striatula,Ectatomminae,,Pseudectatomma
Pseudocamponotus_elkoanus,Formicinae,Camponotini,Pseudocamponotus
Pseudomyrmex_extinctus,Pseudomyrmecinae,,Pseudomyrmex
Pseudomyrmex_saxulum,Pseudomyrmecinae,,Pseudomyrmex
Rhytidoponera_gibsoni,Ectatomminae,Ectatommini,Rhytidoponera
Rhytidoponera_waipiata,Ectatomminae,Ectatommini,Rhytidoponera
Sicilomyrmex_corniger,Formicinae,Gesomyrmecini,Sicilomyrmex
Solenopsidini,,,
Solenopsis_blanda,Myrmicinae,Solenopsidini,Solenopsis
Solenopsis_maxima,Myrmicinae,Solenopsidini,Solenopsis
Solenopsis_moesta,Myrmicinae,Solenopsidini,Solenopsis
Solenopsis_privata,Myrmicinae,Solenopsidini,Solenopsis
Solenopsis_superba,Myrmicinae,Solenopsidini,Solenopsis
Solenopsis_valida,Myrmicinae,Solenopsidini,Solenopsis
Solenopsites_abdita,Myrmicinae,,Solenopsites
Solenopsites_minutus,Myrmicinae,,Solenopsites
Sphecomyrma,Sphecomyrminae,Sphecomyrmini,
Sphecomyrma_freyi,Sphecomyrminae,Sphecomyrmini,Sphecomyrma
Sphecomyrma_mesaki,Sphecomyrminae,Sphecomyrmini,Sphecomyrma
Strumigenys_electrina,Myrmicinae,Attini,Strumigenys
Strumigenys_schleeorum,Myrmicinae,Attini,Strumigenys
Taphopone_aberrans,Ponerinae,,Taphopone
Taphopone_microptera,Ponerinae,,Taphopone
Taphopone_petrosa,Ponerinae,,Taphopone
Tapinoma,Dolichoderinae,Tapinomini,
Tapinoma_baculum,Dolichoderinae,,Tapinoma
Tapinoma_minutissimum,Dolichoderinae,,Tapinoma
Technomyrmex_deletus,Dolichoderinae,,Technomyrmex
Technomyrmex_septentrionalis,Dolichoderinae,,Technomyrmex
Temnothorax_praecreolus,Myrmicinae,Crematogastrini,Temnothorax
Tetramorium_kulickae,Myrmicinae,Crematogastrini,Tetramorium
Tetramorium_paraarmatum,Myrmicinae,Crematogastrini,Tetramorium
Titanomyrma_gigantea,Formiciinae,,Titanomyrma
Titanomyrma_lubei,Formiciinae,,Titanomyrma
Titanomyrma_simillima,Formiciinae,,Titanomyrma
Trachymyrmex_primaevus,Myrmicinae,Attini,Trachymyrmex
Usomyrma_mirabilis,Dolichoderinae,Leptomyrmecini,Usomyrma
Yantaromyrmex_geinitzi,Dolichoderinae,,Yantaromyrmex
Yantaromyrmex_mayrianum,Dolichoderinae,,Yantaromyrmex
Ypresiomyrma_bartletti,Myrmeciinae,,Ypresiomyrma
Ypresiomyrma_orbiculata,Myrmeciinae,,Ypresiomyrma
Ypresiomyrma_orientalis,Myrmeciinae,,Ypresiomyrma
Ypresiomyrma_rebekkae,Myrmeciinae,,Ypresiomyrma
Zhangidris_atopogaster,Myrmicinae,,Zhangidris
Zigrasimecia_ferox,Sphecomyrminae,Zigrasimeciini,Zigrasimecia
Zigrasimecia_tonsora,Sphecomyrminae,Zigrasimeciini,Zigrasimecia
